縣市,種類,timestamp,food_1,food_2,food_3,food_4,food_5,food_6,food_7,food_8,food_9,food_10
高雄市,火鍋,2021-04-23 15:52:24,春囍打邊爐 明誠店,天水玥秘境鍋物殿,劉家酸菜白肉鍋創始店,銀湯匙泰式火鍋 高雄 SOGO 館,虎樂日韓精肉海鮮火烤吃到飽,,,,,
高雄市,火鍋,2021-04-23 15:51:49,春囍打邊爐 明誠店,天水玥秘境鍋物殿,劉家酸菜白肉鍋創始店,銀湯匙泰式火鍋 高雄 SOGO 館,虎樂日韓精肉海鮮火烤吃到飽,旗津 風車驛站,極鮮火鍋,Small萱,老四川巴蜀麻辣燙,一番地壽喜燒 高雄草衙店
高雄市,晚餐,2021-04-23 11:05:40,京都勝牛-漢神巨蛋店,漢堡王 高雄草衙道店,くら寿司 藏壽司 高雄草衙道店,銀座杏子日式豬排,勝博殿日式炸豬排,高雄空廚,漢神巨蛋購物廣場,森本日式和風洋食堂,大帑殿KTV 大順店,餃子の王将
高雄市,咖啡廳,2021-04-23 11:05:35,木軸咖啡廳,秘境咖啡廳 2nd Floor Cafe,漢來咖啡廳Hi - Lai Café,淨園農場咖啡廳,興趣 x simtree 咖啡廳 衛武營店,蝸居,外帶一隻貓,Nango Cafe 南歌咖啡館,Louisa Coffee 路易．莎咖啡,BT蝴蝶餐廳
高雄市,火鍋,2021-04-23 11:05:27,天水玥秘境鍋物殿,劉家酸菜白肉鍋創始店,銀湯匙泰式火鍋 高雄 SOGO 館,虎樂日韓精肉海鮮火烤吃到飽,好好吃肉韓式烤肉x火鍋 吃到飽,旗津 風車驛站,極鮮火鍋,貓頭鷹鍋物,一番地壽喜燒 高雄草衙店,肉多多 高雄三多店
台北市,餐酒館,2021-04-23 11:04:45,貓下去敦北俱樂部,30 thirty老酒館,333 Restaurant & Bar,Mocktini 概念調飲餐館,Red Circle餐飲沙龍,GALERIE Bistro,Time's Eat (暫停營業),好處 Have A Nice Day,舒曼六號 Schumann's Bistro No. 6,UMAMI 金色三麥
高雄市,晚餐,2021-04-23 11:04:31,京都勝牛-漢神巨蛋店,漢堡王 高雄草衙道店,くら寿司 藏壽司 高雄草衙道店,銀座杏子日式豬排,勝博殿日式炸豬排,高雄空廚,漢神巨蛋購物廣場,森本日式和風洋食堂,大帑殿KTV 大順店,餃子の王将
台東縣,咖啡廳,2021-04-23 11:04:11,嘎嘎烏賴賴 咖啡廳,食冊cafe,台東可可娜咖啡 coconut cafe',193咖啡館,太麻里文創咖啡館,台東娜路彎大酒店,Community Cafe' 墾墨咖啡,都蘭海角咖啡 Dulan Cape Cafe,逐浪海景咖啡,小魚兒的家
新竹市,午餐,2021-04-23 11:03:44,くら寿司 藏壽司 新竹巨城店,Mountain House 山房早午餐,廟口鴨香飯,廟口鴨香飯中正店,華麗風采宴會館,鐵 喫茶。燒餃子,港南艾茉爾婚宴會館,鼎盛十里鍋物,腰果花砧板原食料理,飛翔的魚美式餐廳
苗栗縣,早餐,2021-04-23 11:02:31,飛牛牧場,賴新魁麵館,鮮肉湯包,紫蝴蝶餐點坊,垂坤肉鬆店,太興活海鮮飲食店,韓鄉村牛肉麵,湯家大肉圓,大妹餛鈍肉圓,英姐小吃店
高雄市,火鍋,2021-04-23 11:02:09,天水玥秘境鍋物殿,劉家酸菜白肉鍋創始店,銀湯匙泰式火鍋 高雄 SOGO 館,虎樂日韓精肉海鮮火烤吃到飽,好好吃肉韓式烤肉x火鍋 吃到飽,旗津 風車驛站,極鮮火鍋,貓頭鷹鍋物,一番地壽喜燒 高雄草衙店,肉多多 高雄三多店
